idhm_l,ODS_6_1,ODS_6_4,ODS_6_6,ODS_6_7,ODS_6_8,classe
0.700,51.894,17.780,35.130,18.810,100,1
0.706,28.149,18.620,95.130,94.720,100,3
0.662,144.509,7.260,100,99.860,100,3
0.665,14.699,18.880,76.110,60.380,79.670,3
0.689,59.809,11.870,100,98.460,100,4
0.722,0.01,2.650,99.730,99.730,0.01,2
0.720,67.281,34.670,99.940,99.940,100,3
0.633,0.01,28.410,48.370,39.880,100,1
0.735,83.358,19.540,100,98.760,100,3
0.715,10.166,30.270,94.030,42.820,91.460,2
0.718,92.210,31.840,100,92.070,100,3
0.664,13.023,21.820,94.240,91.340,100,3
0.635,0.01,26.070,76.460,25.530,100,2
0.712,15.039,3.820,98.780,98.780,0.01,2
0.592,24.675,32.680,81.750,55.010,93.800,2
0.688,0.01,29.330,80.720,80.130,100,3
0.753,110.156,24.310,80.940,79.220,100,3
0.661,494.604,19.680,93.210,91.500,100,2
0.643,0.01,30.940,97.790,43.340,100,2
0.749,12.081,38.170,90.980,74.410,70,2
0.820,87.662,49.060,99.720,99.620,100,3
0.713,27.473,13.550,90.490,86.900,100,3
0.701,0.01,0,83.440,82.920,0.01,2
0.696,220.861,3.720,80.120,80.120,100,3
0.784,20.192,24.890,99.600,97.250,100,3
0.741,11.193,53.820,92.680,92.680,0.01,1
0.684,1.944,28.530,85.460,52.610,85,2
0.677,31.523,6.920,74.250,73.640,100,3
0.634,0.01,23.370,87.950,78.160,100,3
0.749,141.269,22.690,96.270,94.830,100,3
0.691,18.517,23.800,95.080,92.810,100,3
0.684,63.251,18.800,91.370,90.130,100,3
0.713,0.01,11.310,100,90.470,100,4
0.708,17.813,12.700,100,100,100,3
0.692,123.457,18.920,91.070,86.750,100,3
0.708,46.824,9.330,100,100,100,4
0.738,16.669,47.520,99.930,90.020,100,3
0.687,5.796,27.780,63.200,54.470,99.240,2
0.678,149.897,14.820,88.060,87.520,100,3
0.771,11.915,22.600,91.640,90.560,100,3
0.755,5.011,38.130,100,97.740,100,3
0.699,10.903,41.710,100,79.760,100,3
0.664,170.867,65.140,100,68.340,100,2
0.665,45.935,18.300,71.730,71.110,100,3
0.750,70.690,13.420,97.730,97.730,91.100,3
0.716,66.423,16.370,100,98.800,100,3
0.752,9.260,56.040,99.200,98.470,99.400,3
0.706,26.923,43.640,66.320,58.600,4.820,1
0.712,47.326,14.630,100,99.340,100,3
0.830,22.007,57.420,69.320,65.580,100,2
0.719,139.340,21.990,86.760,84.950,100,3
0.746,112.272,0.01,96.890,96.890,0.01,2
0.744,39.630,35.860,100,98.060,100,3
0.716,89.477,11.730,100,99.800,100,4
0.763,46.065,41.010,96.520,96.520,100,3
0.723,0.01,29.290,100,100,100,3
0.700,55.205,52.450,66.740,44.800,8.010,1
0.696,45.177,17.740,92.640,92.640,94.310,3
0.688,0.01,16.430,82.410,86.800,100,3
0.683,271.831,13.120,100,90.490,100,3
0.764,105.072,20.500,100,99.170,99.340,3
0.711,0.01,10.470,75.150,73.220,100,3
0.746,168.205,24.360,98.610,96.740,100,3
0.712,64.433,11.060,89.300,86.790,100,4
0.751,68.166,12.030,92.910,91.620,100,4
0.876,18.974,39.200,100,55.760,37.580,2
0.725,843.477,16.640,94.480,93.650,100,2
0.819,12.338,41.570,100,97.890,43.150,1
0.690,14.333,50,100,98.900,96.270,3
0.718,0.01,50.520,91.210,91.210,80,2
0.710,23.582,13.330,77.500,77.500,100,3
0.703,16.835,26.910,67.850,66.410,100,2
0.685,58.591,22.440,58.770,32.880,100,2
0.664,95.694,19.530,94.550,86.160,100,3
0.680,0.01,15.880,89.370,89.310,100,3
0.861,14.066,14,100,99.930,100,3
0.719,55.081,8.980,74.780,51.400,82.440,2
0.807,7.342,32.430,100,98.270,30.250,2
0.891,17.906,19.700,100,100,100,3
0.788,22.791,43.660,95.050,95.050,96.470,3
0.705,35.499,12.240,91.940,90.060,100,3
0.776,20.704,25.920,100,98.910,100,3
0.675,1093.323,13.050,100,99.060,100,2
0.682,0.01,0.460,81.570,81.570,100,3
0.714,380.952,20.210,78.670,83.480,75,2
0.740,17.202,14.600,98.210,98.210,0.01,2
0.679,22.321,39.830,100,100,100,3
0.666,0.01,7.890,91.700,81.710,0.01,2
0.744,52.609,28.570,100,91.360,14,2
0.801,42.152,20.320,96.030,93.490,100,3
0.804,11.374,39.990,100,98.070,100,3
0.704,6.259,36.700,50.640,29.820,100,1
0.691,65.482,30.010,58.290,53.350,100,2
0.735,31.612,37.900,100,99.190,100,3
0.708,24.241,28.470,74.910,58.700,100,2
0.843,23.553,31.030,99.300,96.300,100,3
0.741,27.793,45.110,100,100,6.570,1
0.661,38.981,2.400,98.750,70.170,90.230,4
0.765,11.949,50.350,68.720,47.160,96.620,1
0.747,36.534,35.170,73.430,58.800,100,2
